test_id,gravity,q1_initial,q2_initial,simulation_duration,timestep,valid,weight_displacement_mean,weight_displacement_std,weight_displacement_median,weight_displacement_iqr,weight_displacement_max,weight_displacement_final,trajectory_length,speed_mean,speed_std,speed_median,speed_iqr,speed_max,acceleration_mean,acceleration_std,acceleration_median,acceleration_iqr,acceleration_max,q1_mean,q1_std,q1_median,q1_iqr,q1_max_abs,q2_mean,q2_std,q2_median,q2_iqr,q2_max_abs,q1_velocity_mean,q1_velocity_std,q1_velocity_median,q1_velocity_iqr,q1_velocity_max_abs,q2_velocity_mean,q2_velocity_std,q2_velocity_median,q2_velocity_iqr,q2_velocity_max_abs,q1_acceleration_mean,q1_acceleration_std,q1_acceleration_median,q1_acceleration_iqr,q1_acceleration_max_abs,q2_acceleration_mean,q2_acceleration_std,q2_acceleration_median,q2_acceleration_iqr,q2_acceleration_max_abs,initial_kinetic_energy,final_kinetic_energy,kinetic_energy_std,kinetic_energy_mean,kinetic_energy_min,kinetic_energy_max,initial_potential_energy,final_potential_energy,potential_energy_std,potential_energy_mean,potential_energy_min,potential_energy_max,initial_total_energy,final_total_energy,total_energy_std,total_energy_mean,total_energy_min,total_energy_max,total_energy_loss,total_energy_relative_loss,q1_dominant_frequency,q1_oscillation_count,q1_decay_rate,q1_decay_r2,q1_peak_amplitude_initial,q1_peak_amplitude_final,q1_peak_amplitude_mean,q1_peak_amplitude_std,q1_mean_period,q1_period_std,q2_dominant_frequency,q2_oscillation_count,q2_decay_rate,q2_decay_r2,q2_peak_amplitude_initial,q2_peak_amplitude_final,q2_peak_amplitude_mean,q2_peak_amplitude_std,q2_mean_period,q2_period_std,final_q1,final_q2,final_q1_velocity,final_q2_velocity,final_q1_acceleration,final_q2_acceleration
1.0,0.0,1.5707963267948966,1.5707963267948966,14.99800000000168,0.0020000000000002243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.570796326794897,4.440892098500626e-16,1.5707963267948966,0.0,1.5707963267948966,1.570796326794897,4.440892098500626e-16,1.5707963267948966,0.0,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,0.0
2.0,0.01,1.5707963059242631,1.570796347665471,14.99800000000168,0.0020000000000002243,1.0,0.3819060594339039,0.3397983910331546,0.2888519535489613,0.5699974950397062,1.143746448134648,1.143746448134648,1.1439032288710123,0.07627068705635608,0.04391175952384723,0.07623644148387959,0.07404369038227218,0.15705490507923084,0.005573257904875508,0.007154128154679353,0.0018921802273443597,0.009055057366127222,0.025529926497434324,1.1805211948480772,0.3485733364873987,1.278984992927825,0.5898875279985335,1.5707963059242631,1.8161455267052111,0.17426222465180444,1.815266084258607,0.3592006510285979,2.0489547149039,-0.07660735760825763,0.042799419846586605,-0.0783404162989549,0.08009530303835305,0.1338161309190925,0.030424983665392688,0.021592764749536142,0.0363206904276344,0.03354689677780785,0.0537867131874459,-0.008647889199692595,0.0041720780998095565,-0.0103561122010659,0.0011235304975252235,0.0111269008548612,-0.002190324827654346,0.011189040551323385,0.00113458130244285,0.018559058917409,0.0264964772901272,7.304663561383228e-10,0.0363283251883335,0.011028480371729245,0.01267440404798859,7.304663561383228e-10,0.0363283251883335,0.1049999992695293,0.0673079931913437,0.011441805005111895,0.09191876654470792,0.0673079931913437,0.1049999992695293,0.1049999999999956,0.1036363183796772,0.0004153076607573906,0.10459317059269654,0.1036363183796772,0.1049999999999956,-0.0013636816203183993,-0.01298744400303292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06666666666665919,1.0,nan,nan,2.0489547149039,2.0489547149039,2.0489547149039,0.0,nan,nan,0.42181569292446,2.0272039120257848,-0.1297362099683045,-0.0328179393891567,0.0074342649744039,-0.0264964772901272
3.0,0.02,1.57079628505363,1.5707963685360449,14.99800000000168,0.0020000000000002243,1.0,0.7790803427337396,0.7057225637915785,0.5753452749830192,1.1550220418703505,2.3954529092477874,2.3954529092477874,2.4040876193795544,0.16029493537302794,0.09784515140421887,0.1513960439805293,0.16531852571762534,0.33637079746817183,0.032629431214480524,0.03667849597495451,0.014837554091734123,0.060934798412435626,0.12015893278967456,0.8694598216814973,0.5673785150291967,0.9788282871074909,1.1273417464644586,1.57079628505363,1.788882350098163,0.20725677799321274,1.806163783530498,0.35912307910189845,2.053575527497774,-0.10353360015841478,0.06532248966034096,-0.1089997791162578,0.11499900030736032,0.191313332894644,-0.028264367915652934,0.12714277415307784,0.028161152075135802,0.14828902240844055,0.4198177255321942,0.004181493345501894,0.03649396453652176,-0.0206957382359598,0.05010176132689832,0.1054397389374689,-0.028000741070030814,0.0439425709406109,-0.01668059662301425,0.07152721329702705,0.1724761173586282,2.921865424553676e-09,0.1349366700215166,0.04118504169505424,0.04845160649033488,2.921865424553676e-09,0.1349366700215166,0.2099999970781171,0.0702725731208964,0.042437535403746104,0.16026459266557153,0.0702725731208964,0.2099999970781171,0.2099999999999825,0.205209243142413,0.0012620185854527383,0.20871619915590645,0.205209243142413,0.2099999999999825,-0.004790756857569495,-0.022813127893189972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06666666666665919,1.0,nan,nan,2.053575527497774,2.053575527497774,2.053575527497774,0.0,nan,nan,0.017729686244133,1.1472506902345718,0.0625960710608001,-0.4198177255321942,0.1054397389374689,-0.1724761173586282
4.0,0.03,1.570796264182997,1.5707963894066184,14.99800000000168,0.0020000000000002243,1.0,1.1460021638594442,1.00250552844449,0.8618709852159396,1.7919425854370037,2.904094669967302,2.8022295779987347,3.524971406360134,0.23502517403748244,0.13535932505962991,0.22985384453656255,0.2582163454613282,0.4201133187747397,0.08361729800460986,0.09013267925695807,0.0482856686331783,0.14327165912779458,0.31437890219830783,0.7750227040028379,0.5593087151900077,0.6790448047466315,1.1278243963102437,1.570796264182997,1.4548685109667692,0.7975438752193295,1.717194383142472,0.3938308222775211,2.055632540883006,-0.060021828378499835,0.1704989752424749,-0.10088280419822905,0.17795205780549322,0.5152130967082486,-0.1804365033574638,0.3588707236860436,0.007590528236945501,0.4040963844988266,1.389658315436825,0.001592597950993731,0.16628798782329982,-0.03110657247360245,0.09923391329798756,0.6409174909632628,-0.02928810610650549,0.3264522084537935,-0.0237698843955777,0.12392446115079948,1.3403650923601325,6.574197205246631e-09,0.1952125815651057,0.07850875891585664,0.09908279418921155,6.574197205246631e-09,0.2274137355610212,0.3149999934257635,0.0906866481734325,0.0840245813897098,0.21130006239537383,0.0713369395812204,0.3149999934257635,0.3149999999999607,0.2858992297385382,0.007508953725303447,0.3103828565845854,0.2858992297385382,0.3149999999999607,-0.029100770261422493,-0.09238339765532103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06666666666665919,1.0,nan,nan,2.055632540883006,2.055632540883006,2.055632540883006,0.0,nan,nan,0.6704449224363936,-1.1353117520719838,0.0240235540209228,-0.439546484484033,-0.1659303037721377,0.2562853743831537
5.0,0.04,1.5707962433123634,1.5707964102771912,14.99800000000168,0.0020000000000002243,1.0,1.3599568490619791,1.0788903536535768,1.1558289783027826,2.4181201952130698,2.904835776568022,2.7178937390987095,4.4140732148037465,0.29429803043927566,0.15675680642711456,0.31844384056094954,0.29081240365147987,0.4862513285033528,0.1209197124535837,0.11536721941671069,0.10563710801549114,0.19045351139129799,0.42295725665449163,0.7482959339650183,0.5261784775823715,0.6532325979283411,0.9729713856941999,1.5707962433123634,1.05898733763895,1.2502987752607306,1.6490176182659817,1.273887802510127,2.0568616599166734,-0.07907577880003115,0.18862990524792211,-0.1229038404399702,0.19752484111352353,0.6007930368594337,-0.21606135477793,0.3910091322679455,-0.0605250494801729,0.45086097561718375,1.6174048511877763,-0.01804343312576017,0.215128830758381,-0.04161494882016515,0.10587705570217074,0.8645368590163244,-0.003179205277260337,0.4198064077332188,-0.00492856813264265,0.16353465853785795,1.8080006173516077,1.1687461698217769e-08,0.2217236257785546,0.10507237767412876,0.14750610840303321,1.1687461698217769e-08,0.3057846612365396,0.4199999883124686,0.1620663989193853,0.11451589152093472,0.2630880265733645,0.0950277957316011,0.4199999883124686,0.4199999999999304,0.3837900246979399,0.01308026752671052,0.41059413497639774,0.3837900246979399,0.4199999999999304,-0.036209975301990494,-0.08621422690951547,0.06666666666665919,1.0,nan,nan,0.675152969790468,0.675152969790468,0.675152969790468,0.0,nan,nan,0.06666666666665919,1.0,nan,nan,2.0568616599166734,2.0568616599166734,2.0568616599166734,0.0,nan,nan,0.3849302693697261,-1.670076207294187,-0.2706110980018487,-0.0478373433730998,-0.0821828026459508,0.1910522731878969
6.0,0.05,1.5707962224417302,1.5707964311477638,14.99800000000168,0.0020000000000002243,1.0,1.5096149224299804,1.1089175907310973,1.462560965709745,2.3566898882221783,2.905351009265759,2.8809439692253958,5.077416058400802,0.33852008251768617,0.1683778703011668,0.39329620511494456,0.2981029520316845,0.5445243953309821,0.14606665282284245,0.1389524950466734,0.11660846119582519,0.2227284408607812,0.531958237420043,0.6809370150119586,0.5374441318773489,0.6059891076576678,1.0076428193021667,1.5707962224417302,0.7725164187064834,1.4459638047242573,1.601815820356309,2.807811765890742,2.05770167338512,-0.11630942966567016,0.21607823467881027,-0.164084155919852,0.23912613370492702,0.6762110208395181,-0.20376316478678067,0.4312635656434734,-0.0039920660424777495,0.46660841626098803,1.8180813357497168,-0.024668289600644117,0.25640631009795595,-0.052008047725720596,0.09885393573297038,1.0892464877176504,0.019442354416692505,0.5044665182999293,0.0156260639823921,0.35381667030193376,2.2779464608552207,1.8261658903467657e-08,0.2431536374972675,0.12736350550134778,0.1934909089239463,1.8261658903467657e-08,0.384495010630841,0.5249999817382321,0.2386897754764085,0.13922530369880365,0.31761776325751906,0.118708896873541,0.5249999817382321,0.524999999999891,0.481843412973676,0.01692525084405892,0.5111086721814654,0.481843412973676,0.524999999999891,-0.043156587026215,-0.08220302290709325,0.06666666666665919,1.0,nan,nan,0.0101883168906274,0.6771381259449564,0.3436632214177919,0.3334749045271645,nan,nan,0.06666666666665919,1.0,nan,nan,2.05770167338512,1.6890665196270054,1.8733840965060626,0.18431757687905725,nan,nan,-0.1734750630137524,-1.4859426807702782,-0.3700705850699348,0.2914859711942681,-0.0059659137955364,0.2015860570334118
7.0,0.06,1.570796201571097,1.570796452018336,14.99800000000168,0.0020000000000002243,1.0,1.640740554633443,1.141367055683546,1.779692164846683,2.3187678523672584,3.1839228367722208,3.1839228367722208,5.606135662934671,0.37376629781639004,0.17697036657111678,0.4156771197672613,0.2991277349701381,0.5972097177132693,0.1641172568903155,0.16495019284166476,0.11127729779339221,0.25703311694055875,0.6412597352533251,0.5818880641639265,0.6067508684444735,0.5446192343766492,1.0369149399583235,1.570796201571097,0.5969670993363158,1.4948935275632425,1.5760116086450844,3.062258511868995,2.058322371783833,-0.15362570280257015,0.24201109133034016,-0.2059275535072374,0.27145459261636123,0.7443998641427918,-0.1610040628580147,0.497364899821449,0.02185602072952795,0.48346197152635834,1.999528392732549,-0.03149012651095494,0.2958897489389884,-0.06239915546051515,0.08404049277295525,1.3147563269197724,0.04838725759137254,0.5874025309236885,0.03664378551081485,0.4216221716982421,2.7495296532550517,2.629678882099688e-08,0.251640600509711,0.14736645444052374,0.23676629642683358,2.629678882099688e-08,0.463450449932576,0.6299999737030544,0.3250472375133783,0.16079189375996716,0.3749106660362564,0.14238317632678,0.6299999737030544,0.6299999999998432,0.5766878380230893,0.020330122445929598,0.6116769624630901,0.5766878380230893,0.6299999999998432,-0.053312161976753925,-0.08462247932820188,0.13333333333331837,1.0,nan,nan,0.0113035613814155,0.6785977241440421,0.3449506427627288,0.33364708138131327,nan,nan,0.06666666666665919,1.0,nan,nan,2.058322371783833,1.6986124988058895,1.8784674352948612,0.17985493648897177,nan,nan,-0.7331169307824074,-0.8449901237803942,-0.4722507940487351,0.7253572241573378,-0.1636358138537971,0.5141023143515848
8.0,0.07,1.5707961807004638,1.5707964728889074,14.99800000000168,0.0020000000000002243,1.0,1.7619710615441249,1.1788205914514673,2.100474266917237,2.295956985816337,3.3359140460508248,3.2751065521273235,5.892197529381255,0.3928308852681686,0.1906599586976689,0.43307406433103657,0.32870190904240726,0.6456603202094813,0.18678724056651497,0.18699145781272855,0.12693005221542478,0.2825630177013002,0.7507900468408396,0.4571854145934215,0.7329541386474663,0.47548495567875604,1.0290506392020806,1.5707961807004638,0.532591716647289,1.4620759610014968,1.4801469569533292,2.9546378816105534,2.0588051036816504,-0.20304022346898878,0.2847844132197085,-0.24810933188201964,0.2898828540134275,0.807103752553639,-0.07303033335234096,0.6326956237562943,0.0460403656309449,0.4896951731371788,2.166404107989198,-0.038232597612858264,0.3603858261306654,-0.07285671201984376,0.12755650064818105,1.5408527211129583,0.0697932392486911,0.7316550877517412,0.0478384678341982,0.5158219522351207,3.2223521699041537,3.579285145080601e-08,0.2140026202585168,0.16639732648341804,0.2760222765713696,3.579285145080601e-08,0.5425937329544079,0.7349999642069354,0.4418169518238012,0.1804472306707231,0.4355910370706099,0.1660520193438,0.7349999642069354,0.7349999999997868,0.6558195720823181,0.024648998186445985,0.7116133136419796,0.6558195720823181,0.7349999999997868,-0.07918042791746871,-0.10772847335713152,0.13333333333331837,1.0,nan,nan,0.0121716036306618,0.679728625266746,0.34595011444870394,0.33377851081804216,nan,nan,0.06666666666665919,1.0,nan,nan,2.0588051036816504,1.7060226205877325,1.8824138621346913,0.17639124154695895,nan,nan,-1.474233098387953,0.4742935578594071,-0.5741459920558138,1.0482041057367817,0.5843490270645365,-1.2332681433159989
9.0,0.08,1.5707961598298306,1.5707964937594787,14.99800000000168,0.0020000000000002243,1.0,1.8488256125260436,1.1871564991083052,2.4180740620842096,2.279689992760479,3.3335090729231633,2.9637572332104276,6.212497430137381,0.41418786092297677,0.1989969355409158,0.4435500326693814,0.3280959572414276,0.6907582038095454,0.20693075273230188,0.20922948381096274,0.13469073444608892,0.30339974822915367,0.8605018415699083,0.316137824925504,0.8884988446986175,0.4031519669710929,0.9848447551486533,1.9004258812272532,0.5530874821820626,1.4201763957665068,1.173740638277302,2.8446203368560727,2.059194512005942,-0.23143652497142211,0.3006111938918758,-0.2901503949668804,0.3273660214443193,0.8654765283425603,-0.024556474278621523,0.6878055271221004,0.07008131153379235,0.49856795149473787,2.321724372920261,-0.02170104920742538,0.4103736599422758,-0.083206216699399,0.24030386344218901,1.7674205648706651,0.03610567321598824,0.833081210761074,0.0367427826487914,0.6357505233993264,3.696181909205746,4.6749846792895606e-08,0.1698878245120224,0.1867106244509419,0.30933842805917494,4.6749846792895606e-08,0.6218870281402089,0.8399999532498743,0.5774747593634986,0.19956939115803496,0.5013957596702632,0.1897170591918597,0.8399999532498743,0.8399999999997211,0.747362583875521,0.030117215640218558,0.8107341877294382,0.747362583875521,0.8399999999997211,-0.09263741612420007,-0.11028263824313193,0.13333333333331837,1.0,nan,nan,0.0128720234871144,0.6806381836391184,0.3467551035631164,0.33388308007600204,nan,nan,0.06666666666665919,1.0,nan,nan,2.059194512005942,1.711989748676323,1.8855921303411325,0.17360238166480946,nan,nan,-1.9004258812272532,1.2019074056342387,-0.3257419601033899,0.5419179410003706,0.1427192535160088,-0.249330924992422
10.0,0.09,1.5707961389591971,1.570796514630049,14.99800000000168,0.0020000000000002243,1.0,1.9033498208675366,1.1736121998758207,2.688961432912578,2.2124449861592907,3.331483455099863,2.680476082588101,6.501823705229005,0.43347573120486815,0.20690094574322948,0.4458743923343912,0.325290872271084,0.7331157056442023,0.2239452496879704,0.23238576663192181,0.13795979856863222,0.3194228021763262,0.9703618643556213,0.18030826255827612,1.0228856948234164,0.33151232914382694,1.122613502131825,2.1564505565047893,0.6016332456867455,1.3962496490867402,1.318578562907228,2.7314693009538717,2.059517194900326,-0.24849917714316191,0.3105507098261001,-0.3019563967970956,0.31356755725340046,0.9203092307824864,0.003780109251039592,0.7200632679199186,0.0936127258849507,0.7289742189427764,2.467626046982535,-0.01604274325446484,0.451095888513465,-0.0839302037556604,0.2526590836757241,1.99431565091848,0.02829873440209943,0.9146045171596161,0.01770995972889075,0.6885799184605227,4.17078515755095,5.916777484726626e-08,0.1435853465013944,0.20888241448758885,0.338689278908168,5.916777484726626e-08,0.7013034270066594,0.9449999408318724,0.6999121891406723,0.21938682838835016,0.5712172438754303,0.2133784050252416,0.9449999408318724,0.9449999999996472,0.8434975356420668,0.03502038653773919,0.9099065227835984,0.8434975356420668,0.9449999999996472,-0.10150246435758048,-0.10741001519324696,0.13333333333331837,1.0,nan,nan,0.0134529530594171,0.6813898638398592,0.34742140844963815,0.3339684553902211,nan,nan,0.06666666666665919,1.0,nan,nan,2.059517194900326,1.7169280036215295,1.8882225992609278,0.1712945956393983,nan,nan,-2.1564505565047893,1.627073346002165,-0.2408401803767048,0.4246888050747331,0.1050407035601024,-0.1137391593434841
